restaurant ID, menu ID, section ID, title
1,1,1,Shoes
1,1,2,multimedia
1,1,3,monitor
1,1,4,transmit
1,2,1,dedicated
1,2,2,Investor
1,2,3,Specialist
1,2,4,content
2,1,1,Tuna
2,1,2,Assimilated
2,1,3,reboot
2,1,4,morph
2,2,1,auxiliary
2,2,2,Handmade Fresh Computer
2,2,3,intuitive
2,2,4,Chips
3,1,1,Avon
3,1,2,technologies
3,1,3,Innovative
3,1,4,plug-and-play
3,2,1,Up-sized
3,2,2,synthesize
3,2,3,Berkshire
3,2,4,web services
4,1,1,Tuna
4,1,2,hard drive
4,1,3,actuating
4,1,4,web-readiness
4,2,1,e-commerce
4,2,2,Gardens
4,2,3,orange
4,2,4,Buckinghamshire
5,1,1,Ergonomic
5,1,2,analyzing
5,1,3,optical
5,1,4,Dam
5,2,1,enhance
5,2,2,paradigms
5,2,3,Square
5,2,4,Swiss Franc
6,1,1,Nepalese Rupee
6,1,2,RSS
6,1,3,Metal
6,1,4,Officer
6,2,1,Lead
6,2,2,Legacy
6,2,3,Mandatory
6,2,4,Beauty
7,1,1,Architect
7,1,2,Sports
7,1,3,primary
7,1,4,Frozen
7,2,1,Extended
7,2,2,holistic
7,2,3,Cambridgeshire
7,2,4,RSS
8,1,1,Tasty
8,1,2,Idaho
8,1,3,Progressive
8,1,4,Jewelery
8,2,1,Metrics
8,2,2,Chief
8,2,3,transmit
8,2,4,Pants
9,1,1,SCSI
9,1,2,Practical Steel Shoes
9,1,3,Credit Card Account
9,1,4,Shoes
9,2,1,Sleek Soft Chair
9,2,2,streamline
9,2,3,Kansas
9,2,4,bypassing
10,1,1,Principal
10,1,2,Personal Loan Account
10,1,3,Terrace
10,1,4,Tools
10,2,1,Mouse
10,2,2,ivory
10,2,3,paradigms
10,2,4,Persistent
